,_id,l_ID,r_ID,l_title,l_artist,l_year,r_title,r_artist,r_year,_sim_score
47797,47797,b88581,a31163,Far From Home,The Gae Dixon Band,2008,Far From Home,Levellers,1991,1.0
26854,26854,b104875,a17636,Runaway,Nuyorican Soul,1996,Runaway,Jamiroquai,2006,1.0
16945,16945,b66861,a12156,Georgia On My Mind,Preservation Hall Jazz Band,1989,Georgia On My Mind,Michael Bolton,1989,1.0
15493,15493,b14556,a10787,Violet,Joey Cape,2004,Violet,Hole,1994,1.0
20912,20912,b251299,a14534,Driving My Car,Barara Morgenstern,2008,Driving in My Car,Madness,1982,0.75
22953,22953,b82861,a15562,This Is The Way,Ultra Vivid Scene,1992,This Is the Way,Dannii Minogue,1993,0.7
21926,21926,b254840,a14974,Whispers,Gariel Batz,0,Whispers,Aeroplane,2008,1.0
37974,37974,b38731,a23626,Amazing Grace,Bill Murk,0,Amazing Grace,Boy George,2010,1.0
2866,2866,b137079,a3023,Another Part Of Me,Michael Jackson,1987,Another Part of Me,Michael Jackson,1988,0.7391304347826086
27065,27065,b294237,a17758,Smile,Jane Morgan,0,Smile,Jamiroquai,2011,1.0
22995,22995,b217123,a15575,Missing You,E-Rotic,2000,Missing You,Dan Fogelberg,1982,1.0
49929,49929,b325708,a33088,Big Time,MJG,2008,Big Time,Neil Young-Crazy Horse,1996,1.0
26634,26634,b176901,a17581,Someday,Harry Connick_ Jr.,2007,Someday,Mariah Carey,1990,1.0
21451,21451,b287090,a14751,Alive,Earth,0,Alive,Sia,2015,1.0
32770,32770,b233032,a20716,Towers,Ghosts On Pegasus Bridge,0,Towers,Bon Iver,2012,1.0
24259,24259,b251015,a16327,Walk Away,M People,1994,Walk Away,Franz Ferdinand,2005,1.0
9804,9804,b150614,a7361,Indian Summer,Coleman Hawkins,1966,Indian Summer,System F,2010,1.0
7503,7503,b83322,a6193,Winter Wonderland,Santa And His Little Helpers,0,Winter Wonderland,Tony Bennett-Lady Gaga,2014,1.0
32836,32836,b51074,a20741,Silence,Cake Or Death,0,Silence,Delerium-Sarah McLachlan,1997,1.0
37243,37243,b179110,a23156,Why,Nadine Sutherland,0,Why,Annie Lennox,1992,1.0
32387,32387,b27637,a20502,Real Love,The Sutherland Brothers,1972,Real Love,Clean Bandit-Jess Glynne,2014,1.0
45776,45776,b190958,a28820,Why Aye Man,Mark Knopfler,2002,Why Aye Man,Mark Knopfler,2002,1.0
22813,22813,b198886,a15478,I Live My Life,Tommy Ridgley,0,Live My Life,Boy George,1987,0.7058823529411765
43944,43944,b122822,a27790,With You,Chris Brown,0,With You,Chris Brown,2008,1.0
6844,6844,b175134,a5784,Roll on Rolling Stone,Jimmy Cliff,1992,Rolling Stone,Hurts,2015,0.7142857142857143
9451,9451,b143441,a7281,Think Twice,Jay Dee,0,Think Twice,Sun Glitters,2011,1.0
36138,36138,b305444,a22434,Disappear,Noise Ratchet,2002,Disappear,INXS,1990,1.0
25002,25002,b79238,a16750,True Colours,Phil Collins,1999,True Colours,Go West,1986,1.0
37261,37261,b23516,a23156,Why,Discharge,0,Why,Annie Lennox,1992,1.0
23957,23957,b151339,a16112,Shy Guy,Sea Weed,0,Shy Guy,Diana King,1995,1.0
27336,27336,b34755,a17876,Searching,Mighty Diamonds,0,Searching,INXS,1997,1.0
13336,13336,b339894,a9410,The Prayer,Black Child,2001,The Prayer,Christina Aguilera-Chris Mann,2012,1.0
24867,24867,b256788,a16701,Friends,The Police,1993,Friends,Jody Watley-Eric B. & Rakim,1989,1.0
12364,12364,b114122,a8881,Time Capsule,Arch Enemy,1996,Time Capsule,Matthew Sweet,1993,1.0
45468,45468,b97762,a28633,Addicted,Neil Finn,1998,Addicted,Ruddyp,2011,1.0
9413,9413,b189927,a7275,Broken English,Sunscreem,1993,Broken English,Sunscreem,1992,1.0
4973,4973,b200694,a4309,Temptation,Cheap Czad,2002,Temptation,Wet Wet Wet,1988,1.0
37447,37447,b314192,a23237,Underground,Sloppy Seconds,0,Underground,Ben Folds Five,1996,1.0
47469,47469,b233302,a30883,Believe,Ikarus,0,Believe,Cher,1998,1.0
42147,42147,b317140,a26668,Dream,Billy Vaughn And His Orchestra,0,Dream,Dizzee Rascal,2004,1.0
30430,30430,b153424,a19248,Words,The Christians,1990,Words,Skylar Grey,2015,1.0
25066,25066,b120012,a16790,The Prayer,Sheila Walsh,0,The Prayer,Christina Aguilera-Chris Mann,2012,1.0
31713,31713,b238897,a20152,Come Back To Me,Darren Rahn,0,Come Back to Me,Ayreon,2005,0.7
25936,25936,b258233,a17230,Love,Sloppy Meateaters,0,Love,Bruno Mars-Jason Mraz,—,1.0
1204,1204,b144443,a1281,Ill Take Care Of You,Kenny Rogers,0,I Will Take Care Of You,The Bangles,2003,0.7407407407407407
18469,18469,b47508,a13374,Higher Than The Sun,Primal Scream,1991,Higher Than the Sun,Primal Scream,1991,0.7826086956521741
7194,7194,b326045,a6110,Getaway,Idle Sons,2006,Getaway,EBY-Iiris,2014,1.0
41817,41817,b102955,a26485,Bring It On,Lenny Kravitz,2007,Bring It On,Nick Cave & The Bad Seeds,2003,1.0
16770,16770,b251571,a12012,End of the World,Zomina & The Skeletones,2006,End of the World,Ash,2007,1.0
3082,3082,b282532,a3135,Gloria,Encre,2001,Gloria,Van Morrison-John Lee Hooker,1993,1.0
