ID,artist,title,genre
a283,Quincy Jones,Stomp: The Remixes,jazz
a284,Quincy Jones,I'll Be Good to You,jazz
a286,Quantic,Search the Heavens,jazz
a287,Quantic-Spanky Wilson,Don't Joke With a Hungry Man,jazz
a288,Quantic,Sabor,jazz
a289,Quantic,Doo Wop (That Thing) / Entre Rejas,jazz
a290,Phil Collins,I Missed Again,jazz
a291,Phil Collins,If Leaving Me Is Easy,jazz
a292,Phil Collins,Thru' These Walls,jazz
a293,Phil Collins,You Can't Hurry Love,jazz
a294,Phil Collins,Don't Let Him Steal Your Heart Away,jazz
a295,Perry Como-Russ Case and His Orchestra,A Hubba Hubba Hubba / Here Comes Heaven Again,jazz
a296,Perry Como-Russ Case and His Orchestra,"If I'm Lucky / One More Vote (from the film ""If I'm Lucky"")",jazz
a297,Perry Como,'A' – You're Adorable / When Is Sometime?,jazz
a298,Perry Como-The Ramblers,Don't Let the Stars Get in Your Eyes / Lies,jazz
a299,Perry Como,Papa Loves Mambo,jazz
a300,Perry Como,Glendora,jazz
a302,Tori Amos,Silent All These Years,jazz
a303,Tony Hadley,The Game of Love,jazz
a304,Marc et Claude-Tony Hadley,Feel You,jazz
a306,Romeo Santos-Tomatito,Mi Santa,jazz
a307,Tom Waits,Somewhere,jazz
a310,Steve Lukather,Watching the World (Radio Edit),jazz
a311,Phil Collins,Against All Odds (Take a Look at Me Now),jazz
a312,Philip Bailey-Phil Collins,Easy Lover,jazz
a313,Phil Collins,One More Night,jazz
a314,Phil Collins,Don't Lose My Number,jazz
a315,Phil Collins-Marilyn Martin,Separate Lives,jazz
a316,Phil Collins,Sussudio,jazz
a318,Perry Como-The Ray Charles Singers,Catch a Falling Star / Magic Moments,jazz
a319,Perry Como,Walk Right Back,jazz
a326,Tori Amos,China,jazz
a327,Tori Amos,Winter,jazz
a328,Tori Amos,Crucify,jazz
a329,Tori Amos,Cornflake Girl,jazz
a330,Tori Amos,God,jazz
a331,Jen Chapin,I Could Fall (In Love With You),folk
a332,Tom Waits,Downtown Train,jazz
a333,Tom Waits,In the Neighborhood,jazz
a334,Tom Waits,16 Shells From a Thirty-Ought-Six,jazz
a335,Tom Waits,Goin' Out West,jazz
a336,Tom Waits,Heartattack and Vine,jazz
a337,Tom Waits,Hold On,jazz
a338,The Membranes,Fléxible Membrane,alternative
a339,The Membranes,Muscles,alternative
a340,The Mekons,Never Been in a Riot,alternative
a344,Adele,Hometown Glory,jazz
a345,Van Morrison,Bright Side of the Road,jazz
a346,Roberta Flack-Donny Hathaway,Back Together Again,jazz
a355,Zaz,Je veux,jazz
a356,Zaz,Coeur volant,jazz
a357,Zaz,Paris sera toujours Paris,jazz
a358,Phil Collins,Another Day in Paradise,jazz
a359,Phil Collins,I Wish It Would Rain Down,jazz
a360,Phil Collins,Do You Remember?,jazz
a361,Phil Collins,Hang in Long Enough,jazz
a362,Phil Collins,That's Just the Way It Is,jazz
a363,Thursday,Signals Over the Air,alternative
a364,Thursday,Even the Sand Is Made of Seashells,alternative
a365,Ladysmith Black Mambazo-China Black,Swing Low Sweet Chariot,folk
a367,Kris Kristofferson-Rita Coolidge,I Fought the Law,folk
a371,Tori Amos,Pretty Good Year,jazz
a372,Tori Amos,Past the Mission,jazz
a373,Tom Jones-Tori Amos,I Wanna Get Back With You,jazz
a374,Tori Amos,Caught a Lite Sneeze,jazz
a375,Tom Waits,Bad As Me,jazz
a376,The Membranes,Spike Milligan's Tape Recorder,alternative
a377,The Membranes,Everything's Brilliant,alternative
a378,The Membranes,Time-Warp 1991 (Long Live Trad Rock),alternative
a379,The Membranes-That Petrol Emotion,Big Decision (Slight Return) / Everybody's Goin' Triple Bad Acid Yeah!,alternative
a380,The Membranes,Spike Milligan’s Tape Recorder,alternative
a383,The Mekons,Where Were You? / I’ll Have to Dance Then (On My Own),alternative
a384,The Mekons,Work All Week / Unknown Wrecks,alternative
a385,The Mekons,Snow,alternative
a386,The Mekons,Teeth,alternative
a387,The Mekons,This Sporting Life,alternative
a388,The Mekons-Gdansk,Guardian / A Word,alternative
a389,The Mekons,Hole in the Ground,alternative
a392,Adele,Chasing Pavements,jazz
a393,Adele,Cold Shoulder,jazz
a394,Adele,Make You Feel My Love,jazz
a395,Daniel Merriweather-Adele,Water and a Flame,jazz
