ID, Artist, Song, Genre
287,Quantic-Spanky Wilson,Don't Joke With a Hungry Man,jazz
288,Quantic,Sabor,jazz
289,Quantic,Doo Wop (That Thing) / Entre Rejas,jazz
290,Phil Collins,I Missed Again,jazz
291,Phil Collins,If Leaving Me Is Easy,jazz
292,Phil Collins,Thru' These Walls,jazz
293,Phil Collins,You Can't Hurry Love,jazz
294,Phil Collins,Don't Let Him Steal Your Heart Away,jazz
295,Perry Como-Russ Case and His Orchestra,A Hubba Hubba Hubba / Here Comes Heaven Again,jazz
296,Perry Como-Russ Case and His Orchestra,If I'm Lucky / One More Vote (from the film "If I'm Lucky"),jazz
297,Perry Como,'A' – You're Adorable / When Is Sometime?,jazz
298,Perry Como-The Ramblers,Don't Let the Stars Get in Your Eyes / Lies,jazz
299,Perry Como,Papa Loves Mambo,jazz
300,Perry Como,Glendora,jazz
302,Tori Amos,Silent All These Years,jazz
303,Tony Hadley,The Game of Love,jazz
304,Marc et Claude-Tony Hadley,Feel You,jazz
306,Romeo Santos-Tomatito,Mi Santa,jazz
307,Tom Waits,Somewhere,jazz
310,Steve Lukather,Watching the World (Radio Edit),jazz
311,Phil Collins,Against All Odds (Take a Look at Me Now),jazz
312,Philip Bailey-Phil Collins,Easy Lover,jazz
313,Phil Collins,One More Night,jazz
314,Phil Collins,Don't Lose My Number,jazz
315,Phil Collins-Marilyn Martin,Separate Lives,jazz
316,Phil Collins,Sussudio,jazz
317,Perry Como,Round and Round / Mi casa, su casa (My House Is Your House),jazz
318,Perry Como-The Ray Charles Singers,Catch a Falling Star / Magic Moments,jazz
319,Perry Como,Walk Right Back,jazz
326,Tori Amos,China,jazz
327,Tori Amos,Winter,jazz
328,Tori Amos,Crucify,jazz
329,Tori Amos,Cornflake Girl,jazz
330,Tori Amos,God,jazz
331,Jen Chapin,I Could Fall (In Love With You),folk
332,Tom Waits,Downtown Train,jazz
333,Tom Waits,In the Neighborhood,jazz
334,Tom Waits,16 Shells From a Thirty-Ought-Six,jazz
335,Tom Waits,Goin' Out West,jazz
336,Tom Waits,Heartattack and Vine,jazz
337,Tom Waits,Hold On,jazz
338,The Membranes,Fléxible Membrane,alternative
339,The Membranes,Muscles,alternative
340,The Mekons,Never Been in a Riot,alternative
344,Adele,Hometown Glory,jazz
345,Van Morrison,Bright Side of the Road,jazz
346,Roberta Flack-Donny Hathaway,Back Together Again,jazz
349,Earth, Wind & Fire,Got to Get You Into My Life / I’ll Write a Song for You,jazz
355,Zaz,Je veux,jazz
356,Zaz,Coeur volant,jazz
357,Zaz,Paris sera toujours Paris,jazz
358,Phil Collins,Another Day in Paradise,jazz
359,Phil Collins,I Wish It Would Rain Down,jazz
360,Phil Collins,Do You Remember?,jazz
361,Phil Collins,Hang in Long Enough,jazz
362,Phil Collins,That's Just the Way It Is,jazz
363,Thursday,Signals Over the Air,alternative
364,Thursday,Even the Sand Is Made of Seashells,alternative
365,Ladysmith Black Mambazo-China Black,Swing Low Sweet Chariot,folk
367,Kris Kristofferson-Rita Coolidge,I Fought the Law,folk
371,Tori Amos,Pretty Good Year,jazz
372,Tori Amos,Past the Mission,jazz
373,Tom Jones-Tori Amos,I Wanna Get Back With You,jazz
374,Tori Amos,Caught a Lite Sneeze,jazz
375,Tom Waits,Bad As Me,jazz
376,The Membranes,Spike Milligan's Tape Recorder,alternative
377,The Membranes,Everything's Brilliant,alternative
378,The Membranes,Time-Warp 1991 (Long Live Trad Rock),alternative
379,The Membranes-That Petrol Emotion,Big Decision (Slight Return) / Everybody's Goin' Triple Bad Acid Yeah!,alternative
380,The Membranes,Spike Milligan’s Tape Recorder,alternative
